Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
1,Avengers: Endgame,2797501328,858373000,1939128328,2019.csv,2019,0.30683560054417247,0.6931643994558275
2,Avatar,2743577587,749766139,1993811448,2009.csv,2009,0.27328045780540194,0.726719542194598
3,Star Wars: Episode VII - The Force Awakens,2068223624,936662225,1131561399,2015.csv,2015,0.4528824707980417,0.5471175292019583
4,Avengers: Infinity War,2048359754,678815482,1369544272,2018.csv,2018,0.3313946589091205,0.6686053410908794
5,Spider-Man: No Way Home,1901232550,804793477,1096439073,2021.csv,2021,0.4233009144515225,0.5766990855484775
6,Jurassic World,1670400637,652270625,1018130012,2015.csv,2015,0.39048753368022093,0.6095124663197791
7,The Lion King,1656943394,543638043,1113305351,2019.csv,2019,0.32809693135479556,0.6719030686452044
8,The Avengers,1518812988,623357910,895455078,2012.csv,2012,0.41042440045291473,0.5895755995470853
9,Furious 7,1515047671,353007020,1162040651,2015.csv,2015,0.23300060239490641,0.7669993976050936
10,Frozen II,1450026933,477373578,972653355,2019.csv,2019,0.329217042205105,0.6707829577948949
11,Avengers: Age of Ultron,1402805868,459005868,943800000,2015.csv,2015,0.3272055517235689,0.6727944482764311
12,Black Panther,1346913161,700059566,646853595,2018.csv,2018,0.5197510769589992,0.4802489230410007
13,Harry Potter and the Deathly Hallows: Part 2,1341511219,381011219,960500000,2011.csv,2011,0.2840164238686102,0.7159835761313897
14,Star Wars: Episode VIII - The Last Jedi,1332539889,620181382,712358507,2017.csv,2017,0.465412995978239,0.5345870040217611
15,Jurassic World: Fallen Kingdom,1308467944,417719760,890748184,2018.csv,2018,0.3192434036427567,0.6807565963572433
16,Frozen,1280802282,400738009,880064273,2013.csv,2013,0.31288046143565507,0.6871195385643449
17,Beauty and the Beast,1263521126,504014165,759506961,2017.csv,2017,0.3988965080430321,0.6011034919569679
18,Incredibles 2,1242805359,608581744,634223615,2018.csv,2018,0.48968387494698595,0.510316125053014
19,The Fate of the Furious,1236005118,226008385,1009996733,2017.csv,2017,0.1828539232634472,0.8171460767365528
20,Iron Man 3,1214811252,409013994,805797258,2013.csv,2013,0.33668933616363966,0.6633106638363603
21,Top Gun: Maverick,1189821383,601921383,587900000,2022.csv,2022,0.5058922218075484,0.4941077781924516
22,Minions,1159398397,336045770,823352627,2015.csv,2015,0.28984494964762314,0.7101550503523768
23,Captain America: Civil War,1153296293,408084349,745211944,2016.csv,2016,0.35384172434862754,0.6461582756513724
24,Aquaman,1148461807,335061807,813400000,2018.csv,2018,0.2917483236776023,0.7082516763223977
